COMPANY & TICKER,,REC DATE,TEAM,RISK,MARKET CAP,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,Hyatt Hotels,10/18/13,David,13,$5B,$44.30 ,19.70%,103.60%,-83.90%,Add H to your Favorites
,H,,,,,,,,,
,Under Armour (C Shares) and Under Armour (A Shares) Corporate Action Details,9/20/13,Tom,,N/A Corporate Action Details,N/A Corporate Action Details,-53.30%,108.10%,-161.40%,N/A Corporate Action Details
,UA UAA,,,,,,,,,
,Sierra Wireless,9/20/13,David,15,$460M,$14.74 ,-37.00%,108.10%,-145.00%,Add SWIR to your Favorites
,SWIR,,,,,,,,,
,Texas Roadhouse,8/16/13,David,10,$4B,$22.20 ,129.20%,115.30%,14.00%,Add TXRH to your Favorites
,TXRH,,,,,,,,,
,Mastercard,6/21/13,Tom,,$298B,$54.85 ,440.50%,124.60%,315.90%,Add MA to your Favorites
,MA Starter,,,,,,,,,
,Netflix,6/21/13,David,11,$200B,$30.99 ,1364.30%,124.60%,1239.70%,NFLX is in your Favorites
,NFLX Now Starter,,,,,,,,,
,Vail Resorts,5/17/13,David,9,$7B,$56.36 ,223.50%,114.90%,108.60%,Add MTN to your Favorites
,MTN,,,,,,,,,
,Mastercard,4/19/13,Tom,,$298B,$49.94 ,493.70%,130.90%,362.80%,Add MA to your Favorites
,MA Starter,,,,,,,,,
,Gartner,3/15/13,Tom,,$11B,$52.09 ,130.40%,130.40%,0.00%,Add IT to your Favorites
,IT,,,,,,,,,
,CarMax,3/15/13,David,14,$15B,$41.66 ,120.50%,130.40%,-9.90%,Add KMX to your Favorites
,KMX,,,,,,,,,
,Chipotle Mexican Grill,2/15/13,Tom,,$28B,$314.19 ,221.70%,137.10%,84.60%,CMG is in your Favorites
,CMG,,,,,,,,,
,Williams-Sonoma,12/21/12,Tom,,$7B,$35.72 ,139.80%,152.70%,-13.00%,Add WSM to your Favorites
,WSM,,,,,,,,,
,Tesla,11/16/12,Tom,,$186B,$31.84 ,3043.50%,166.50%,2877.10%,TSLA is in your Favorites
,TSLA Now,,,,,,,,,
,Intuit,11/16/12,David,7,$75B,$54.93 ,421.20%,166.50%,254.70%,Add INTU to your Favorites
,INTU Starter,,,,,,,,,
,Westinghouse Air Brake Technologies,10/19/12,Tom,,$11B,$40.08 ,50.10%,153.40%,-103.30%,Add WAB to your Favorites
,WAB,,,,,,,,,
