COMPANY & TICKER,,REC DATE,RISK,MARKET CAP,CURRENT PRICE,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,AMC Networks,12/19/12,13,$1B,$24.40 ,$49.70 ,-49.40%,148.00%,-197.40%,Add AMCX to your Favorites
,AMCX,,,,,,,,,
,"Axos Financial, Inc.",11/21/12,11,$1B,$20.28 ,$6.52 ,208.90%,156.50%,52.40%,Add AX to your Favorites
,AX,,,,,,,,,
,MasTec,11/21/12,8,$3B,$43.47 ,$22.54 ,85.00%,156.50%,-71.50%,Add MTZ to your Favorites
,MTZ,,,,,,,,,
,Facebook,10/24/12,5,$667B,$235.68 ,$23.23 ,907.40%,153.80%,753.60%,FB is in your Favorites
,FB,,,,,,,,,
,Yandex,9/26/12,12,$16B,$50.55 ,$23.35 ,115.40%,149.80%,-34.40%,Add YNDX to your Favorites
,YNDX,,,,,,,,,
,Facebook,7/25/12,5,$667B,$235.68 ,$29.34 ,697.60%,168.80%,528.80%,FB is in your Favorites
,FB,,,,,,,,,
,Trex,7/25/12,10,$7B,$122.95 ,$6.77 ,1712.90%,168.80%,1544.10%,Add TREX to your Favorites
,TREX,,,,,,,,,
,Proto Labs,6/27/12,16,$3B,$112.05 ,$30.02 ,258.00%,170.40%,87.60%,Add PRLB to your Favorites
,PRLB,,,,,,,,,
,TripAdvisor,5/23/12,13,$2B,$18.34 ,$40.15 ,-54.80%,173.60%,-228.40%,Add TRIP to your Favorites
,TRIP,,,,,,,,,
,Zillow Group (C shares) and Zillow Group (A shares) Corporate Action Details,4/25/12,14,N/A Corporate Action Details,N/A Corporate Action Details,N/A Corporate Action Details,441.90%,160.00%,281.80%,N/A Corporate Action Details
,Z ZG,,,,,,,,,
,MercadoLibre,1/25/12,10,$47B,$971.44 ,$86.09 ,1007.90%,174.20%,833.80%,Add MELI to your Favorites
,MELI Starter,,,,,,,,,
,Intuitive Surgical,1/25/12,7,$65B,$555.11 ,$151.89 ,265.40%,174.20%,91.20%,Add ISRG to your Favorites
,ISRG Now,,,,,,,,,
,Salesforce.com,12/21/11,8,$167B,$188.34 ,$24.76 ,649.50%,192.80%,456.70%,CRM is in your Favorites
,CRM Starter,,,,,,,,,
,Tesla,11/23/11,17,$178B,$985.98 ,$31.45 ,2955.20%,214.00%,2741.10%,TSLA is in your Favorites
,TSLA,,,,,,,,,
,Zillow Group (A shares) and Zillow Group (C shares) Corporate Action Details,9/28/11,14,N/A Corporate Action Details,N/A Corporate Action Details,N/A Corporate Action Details,540.00%,218.10%,322.00%,N/A Corporate Action Details
,ZG Z,,,,,,,,,
,Emergent BioSolutions,4/27/11,15,$4B,$76.10 ,$22.28 ,228.30%,172.60%,55.80%,Add EBS to your Favorites
,EBS,,,,,,,,,
,NXP Semiconductors,3/23/11,14,$32B,$113.37 ,$26.39 ,328.40%,185.20%,143.20%,Add NXPI to your Favorites
,NXPI,,,,,,,,,
,Lululemon Athletica,12/22/10,8,$38B,$295.13 ,$35.85 ,723.50%,195.30%,528.20%,Add LULU to your Favorites
,LULU Now,,,,,,,,,
,51job,7/28/10,9,$5B,$70.43 ,$12.09 ,469.20%,239.10%,230.10%,Add JOBS to your Favorites
,JOBS,,,,,,,,,
,Universal Display,6/23/10,10,$7B,$151.33 ,$17.54 ,742.80%,243.90%,498.80%,Add OLED to your Favorites
,OLED,,,,,,,,,
,New Oriental Education & Technology Group,4/28/10,10,$21B,$132.98 ,$22.13 ,496.90%,216.40%,280.50%,Add EDU to your Favorites
,EDU,,,,,,,,,
